keys	en
身体	Body
髪型	Hair
顔	Face
衣装	Costume
衣装(頭顔)	HeadCos
アイテム	Item
その他	Others
スキン	Skin
耳	Ears
尻尾	Tail
髪	Hair
ひげ	Beard
目	Eyes
メイク1	Makeup1
メイク2	Makeup2
衣装1	Costume1
衣装2	Costume2
衣装3	Costume3
マント類1	Cloak1
マント類2	Cloak2
帽子類1	Hat1
帽子類2	Hat2
めがね類1	Glasses1
めがね類2	Glasses2
アイテム1	Item1
アイテム2	Item2
影	Shadow
透かし表示	WaterMark
加工用画像	Processing
背景画像	Background
スキン	Skin
尻尾	Tail
髪	Hair
髪追加1	HairAdd1
髪追加2	HairAdd2
ひげ	Beard
目	Eyes
耳	Ears
メイク1	Makeup1
メイク2	Makeup2
衣装1	Costume1
衣装2	Costume2
衣装3	Costume3
マント類1	Cloak1
マント類2	Cloak2
帽子類1	Hat1
帽子類2	Hat2
めがね類1	Glasses1
めがね類2	Glasses2
アイテム1	Item1
アイテム2	Item2
影	Shadow
透かし表示	WaterMark
加工用画像	Processing
背景画像	Background
