keys	en
子供_ベース001-01	001-01
子供_ベース001-02	001-02
子供_ベース001-03	001-03
子供_ベース001-04	001-04
子供_ベース001-05	001-05
子供_ベース001-マネキン	001-mannequin
子供_ベース001_髪影なし-01	001_without_shade-01
子供_ベース001_髪影なし-02	001_without_shade-02
子供_ベース001_髪影なし-03	001_without_shade-03
子供_ベース001_髪影なし-04	001_without_shade-04
子供_ベース001_髪影なし-05	001_without_shade-05
子供_ベース001_髪影なし-マネキン	001_without_shade-mannequin
骸骨子供_ベース001-01	Skeleton_001-01
骸骨子供_ベース001-02	Skeleton_001-02
骸骨子供_ベース001-03	Skeleton_001-03
骸骨子供_ベース001-04	Skeleton_001-04
骸骨子供_ベース001-05	Skeleton_001-05
