keys	en
カテゴリなし	No Category
モンスター	Monster
男	Male
女	Female
男素体	Default Male
女素体	Default Female
おばけ1	Ghost 1
おばけ2	Ghost 2
おばけ3	Ghost 3
おばけ4	Ghost 4
おばけ5	Ghost 5
おばけ6	Ghost 6
ゴブリン	Goblin
ゴブリンソルジャー	Goblin Soldier
ゴブリンアーチャー	Goblin Archer
ゴブリンマジシャン	Goblin Magician
ゴブリンキング	Goblin King
メイドゾンビ	Maid Zombie
パンプキンメイド	Pumpkin Maid
パンプキンマン	Pumpkin Man
闇神官	Dark Priest
骸骨メイド	Skeleton Maid
骸骨戦士1	Skeleton Warrior 1
骸骨戦士2	Skeleton warrior 2
魔物	Demon
魔王	Demon King
一般人1	General Person 1
一般人2	General Person 2
エルフ	Elf
兵士	Soldier
兵士剣	Soldier Sword
兵士剣と盾	Soldier Sword and Shield
兵士弓矢	Soldier Bow and Arrow
兵士斧	Soldier Axe
兵士槍	Soldier Spear
兵士魔法	Soldier Magic
王	King
大臣	Minister
神官	Priest
騎士1	Knight 1
騎士2	Knight 2
勇者	Brave Man
戦士	Warrior
魔法使い	Wizard
僧侶	Priest
盗賊	Thief
学生夏服	Summer School Uniform
学生学ラン	School Uniform
スーツ1	Suit 1
スーツ2	Suit 2
ギャング	Gangster
マッチョマン	Macho Man
水着モヒカン	Swimsuit Mohawk
赤ふんどし	Red Loincloth
一般人1	General Person 1
一般人2	General Person 2
王妃	Queen
王女	Princess
騎士	Knight
エルフ女王	Elf Queen
エルフ騎士	Elf Knight
メイド1	Maid 1
メイド2	Maid 2
メイド3	Maid 3
勇者	Brave Man
冒険者	Adventurer
戦士	Warrior
魔法使い1	Witch 1
魔法使い2	Witch 2
僧侶	Priest
学者	Scholar
盗賊	Thief
格闘家	Martial Artist
猫耳少女	Nekomimi Girl
学生1	Student 1
学生2	Student 2
学生3	Student 3
ホラー学生	Horror Student
スーツ1	Suit 1
スーツ2	Suit 2
スーツ白衣	White Robe
水着1	Swimsuit 1
水着2	Swimsuit 2
水着3	Swimsuit 3
水着4	Swimsuit 4
水着5	Swimsuit 5
水着6	Swimsuit 6
水着7	Swimsuit 7
