keys	en
ナイフ001-01	Knife_001-01
ナイフ001-02	Knife_001-02
ナイフ002-01	knife_002-01
ナイフ002-02	Knife_002-02
ロッド001-01	Rod_001-01
ロッド001-02	Rod_001-02
ロッド001-03	Rod_001-03
ロッド001-04	Rod_001-04
剣だけ001-01	Sword_001-01
剣だけ001-02	Sword_001-02
剣だけ001-03	Sword_001-03
剣だけ001-04	Sword_001-04
剣と剣001-01	Sword and Sword_001-01
剣と剣001-02	Sword and Shield_001-02
剣と盾001-01	Sword and Shield_001-01
剣と盾001-02	Sword and Shield_001-02
剣と盾001-03	Sword and shield_001-03
剣と盾001-04	Sword and Shield_001-04
弓001-01	Bows_001-01
弓001-02	Bows_001-02
拳銃001-01	Pistol_001-01
拳銃001-02	Pistol_001-02
拳銃001-03	Pistol_001-03
斧001-01	Axe_001-01
斧001-02	Axe_001-02
槍001-01	Spear_001-01
槍001-02	Spear_001-02
盾だけ001-01	Shield_001-01
盾だけ001-02	Shield_001-02
盾だけ001-03	Shield_001-03
盾だけ001-04	Shield_001-04
