keys	en
帽子001_兵士-01	001_Soldiers-01
帽子001_兵士-02	001_Soldiers-02
帽子001_兵士-03	001_Soldiers-03
帽子002_王冠	002_King's Crown
帽子003_ティアラ	003_Tiara
帽子004_後ろ髪飾り	004_Back-hair_ornament
帽子004_後ろ髪飾り_	004_Back-hair_ornament_
帽子005_メイドカチューシャ	005_Maid's Headband
帽子006_魔法使い	006_Wizard
帽子007_魔女	007_Witch
帽子008_僧侶	008_Priest
帽子009_僧侶	009_Priest
帽子010_鉢巻	010_Headband
帽子011_カチューシャ	011_Headband
帽子012_卵殻	012_Eggshell
帽子013_カボチャ	013_Pumpkin
帽子014_シルクハット	014_Silk hat
帽子015_リボン01	015_Ribbon01
帽子015_リボン02	015_Ribbon02
帽子015_リボン03	015_Ribbon03
帽子016_リボン01	016_Ribbon01
帽子016_リボン02	016_Ribbon02
帽子016_リボン03	016_Ribbon03
帽子017_リボン01	017_Ribbon01
帽子017_リボン02	017_Ribbon02
帽子017_リボン03	017_Ribbon03
