keys	en
女_髪001-01	Female_001-01
女_髪001-02	Female_001-02
女_髪002-01	Female_002-01
女_髪002-02	Female_002-02
女_髪003-01	Female_003-01
女_髪003-02	Female_003-02
女_髪004-01	Female_004-01
女_髪004-02	Female_004-02
女_髪005-01	Female_005-01
女_髪005-02	Female_005-02
女_髪006-01	Female_006-01
女_髪006-02	Female_006-02
女_髪007-01	Female_007-01
女_髪007-02	Female_007-02
女_髪008-01	Female_008-01
女_髪008-02	Female_008-02
女_髪009-01	Female_009-01
女_髪009-02	Female_009-02
女_髪010-01	Female_010-01
女_髪010-02	Female_010-02
女_髪011-01	Female_011-01
女_髪011-02	Female_011-02
女_髪012-01	Female_012-01
女_髪012-02	Female_012-02
女_髪013-01	Female_013-01
女_髪013-02	Female_013-02
女_髪014-01	Female_014-01
女_髪014-02	Female_014-02
女_髪015-01	Female_015-01
女_髪015-02	Female_015-02
女_髪016-01	Female_016-01
女_髪016-02	Female_016-02
女_髪017-01	Female_017-01
女_髪017-02	Female_017-02
女_髪018-01	Female_018-01
女_髪018-02	Female_018-02
女_髪019-01	Female_019-01
女_髪019-02	Female_019-02
男_髪001-01	Male_001-01
男_髪001-02	Male_001-02
男_髪002-01	Male_002-01
男_髪002-02	Male_002-02
男_髪003-01	Male_003-01
男_髪003-02	Male_003-02
男_髪004-01	Male_004-01
男_髪004-02	Male_004-02
男_髪005-01	Male_005-01
男_髪005-02	Male_005-02
男_髪005_鉢巻付-01	Male_005_With_headband-01 
男_髪005_鉢巻付-02	Male_005_With_headband-02
男_髪006-01	Male_006-01
男_髪006-02	Male_006-02
男_髪007-01	Male_007-01
男_髪007-02	Male_007-02
男_髪008-01	Male_008-01
男_髪008-02	Male_008-02
男_髪009-01	Male_009-01
男_髪009-02	Male_009-02
男_髪010-01	Male_010-01
男_髪010-02	Male_010-02
男_髪011-01	Male_011-01
男_髪011-02	Male_011-02
男_髪012-01	Male_012-01
男_髪012-02	Male_012-02
男_髪013-01	Male_013-01
男_髪013-02	Male_013-02
男_髪014-01	Male_014-01
男_髪014-02	Male_014-02
