keys	en
女_服001_一般人	Female_001_General_Person
女_服002_一般人	Female_002_General_Person
女_服003_メイド	Female-003_Maid
女_服004_王妃	Female_004_Queen
女_服005_勇者	Female_005_Brave
女_服006_戦士	Female_006_Warrior
女_服007_魔女	Female_007_Witch
女_服008_僧侶	Female_008_Priest
女_服009_盗賊	Female_009_Thief
女_服010_下着-01	Female_010_Underwear-01
女_服010_下着-02	Female_010_Underwear-02
女_服010_下着-03	Female_010_Underwear-03
女_服011_学生-01	Female_011_Student-01
女_服011_学生-02	Female_011_Student-02
女_服011_学生-03	Female_011_Student-03
女_服012_学生-01	Female_012_Student-01
女_服012_学生-02	Female_012_Student-02
女_服012_学生-03	Female_012_Student-03
女_服013_スーツ-01	Female_013_Suit-01
女_服013_スーツ-02	Female_013_Suit-02
女_服013_スーツ-03	Female_013_Suit-03
女_服014_スーツ-01	Female_014_Suit-01
女_服014_スーツ-02	Female_014_Suit-02
女_服014_スーツ-03	Female_014_Suit-03
女_服015_葉っぱ	Female_015_Leaf
女_服016_水着ビキニ-01	Female_016_Swimsuit-bikini-01
女_服016_水着ビキニ-02	Female_006_Swimsuit-bikini-02
女_服017_水着ワンピース-01	Female_017_Swimsuit_one-piece-01
女_服017_水着ワンピース-02	Female_017_Swimsuit_one-piece-02
女_服018_水着セクシー-01	Female_018_Swimsuit_sexy-01
女_服018_水着セクシー-02	Female_018_Swimsuit-sexy-02
女_服019_バスタオル-01	Female_019_Bath_towel-01
女_服019_バスタオル-02	Female_019_Bath_towel-02
男_服001_一般人	Male_001_General_Person
男_服002_一般人	Male_002_General_Person
男_服003_兵士-01	Male_003_Soldier-01
男_服003_兵士-02	Male_003_Soldier-02
男_服003_兵士-03	Male_003_Soldier-03
男_服004_神官	Male_004_Priest
男_服005_大臣	Male_005_Minister
男_服006_王	Male_006_King
男_服007_勇者	Male_007_Brave
男_服008_戦士	Male_008_Warrior
男_服009_魔法使い	Male_009_Wizard
男_服010_僧侶	Male_010_Priest
男_服011_盗賊	Male_011_Thief
男_服012_下着-01	Male_012_Underwear-01
男_服012_下着-02	Male_012_Underwear-02
男_服012_下着-03	Male_012_Underwear-03
男_服013_学生-01	Male_013_Student-01
男_服013_学生-02	Male_013_Student-02
男_服013_学生-03	Male_013_Student-03
男_服014_学生-01	Male_014_Student-01
男_服014_学生-02	Male_014_Student-02
男_服014_学生-03	Male_014_Student-03
男_服015_スーツ-01	Male_015_Suit-01
男_服015_スーツ-02	Male_015_Suit-02
男_服015_スーツ-03	Male_015_Suit-03
男_服016_スーツ-01	Male_016_Suit-01
男_服016_スーツ-02	Male_016_Suit-02
男_服016_スーツ-03	Male_016_Suit-03
男_服017_葉っぱ	Male_017_Leaf
男_服018_水着短パン-01	Male_018_Swimsuit_shorts-01
男_服018_水着短パン-02	Male_018_Swimsuit_shorts-02
男_服019_水着ブーメラン-01	Male_019_Swimsuit_boomerang-01
男_服019_水着ブーメラン-02	Male_019_Swimsuit_boomerang_02
男_服020_水着ふんどし-01	Male_020_Swimsuit_loincloth-01
男_服020_水着ふんどし-02	Male_020_Swimsuit_loincloth-02
男_服021_タオル-01	Male_021_Towel-01
男_服021_タオル-02	Male_021_Towel-02
