keys	en
カギ001	Kinked 001
カギ002	Kinked 002
カギ003	Kinked 003
カギ004	Kinked 004
カギ005	Kinked 005
カギ006	Kinked 006
カギ007	Kinked 007
カギ008	Kinked 008
カギ009	Kinked 009
カギ010	Kinked 010
カギ011	Kinked 011
カギ012	Kinked 012
クマ001	Bear 001
クマ002	Bear 002
クマ003	Bear 003
クマ004	Bear 004
クマ005	Bear 005
ボブ001	Bob 001
ボブ002	Bob 002
ボブ003	Bob 003
ボブ004	Bob 004
ボブ005	Bob 005
ボブ006	Bob 006
ボブ007	Bob 007
ボブ008	Bob 008
ボブ009	Bob 009
ボブ010	Bob 010
ボブ011	Bob 011
ボブ012	Bob 012
尻尾001	001
尻尾002	002
尻尾003	003
尻尾004	004
尻尾005	005
尻尾006	006
尻尾007	007
尻尾008	008
尻尾009	009
尻尾010	010
尻尾011	011
尻尾012	012
