keys	en
スカーフ001-01	Scarf 001-01
スカーフ001-02	Scarf 001-02
スカーフ001-03	Scarf 001-03
ネクタイ001-01	Necktie 001-01
ネクタイ001-02	Necktie 001-02
ネクタイ001-03	Necktie 001-03
マント001-01	Cloak 001-01
マント001-02	Cloak 001-02
マント001-03	Cloak 001-03
マント002_魔王	Cloak 002_DemonKing
メダル001-01	Medal 001-01
メダル001-02	Medal 001-02
メダル001-03	Medal 001-03
大きな翼-01	Big Wing-01
大きな翼-02	Big Wing-02
大きな翼-03	Big Wing-03
天使の翼001-01	Angel's Wing 001-01
悪魔の翼001-01	Devil's Wing 001-01
浮き輪001-01	Floatation Ring 001-01
浮き輪001-02	Floatation Ring 001-02
浮き輪001-03	Floatation Ring 001-03
蝶ネクタイ001-01	Bow Ties 001-01
蝶ネクタイ001-02	Bow Ties 001-02
蝶ネクタイ001-03	Bow Ties 001-03
首輪001	Collar 001
首輪002_鈴付き	Collar 002_with Bell
