keys	en
リボン001_右-01	Ribbon 001_Right-01
リボン001_右-02	Ribbon 001_Right-02
リボン001_右-03	Ribbon 001_Right-03
リボン001_左-01	Ribbon 001_Left-01
リボン001_左-02	Ribbon 001_Left-02
リボン001_左-03	Ribbon 001_Left-03
天使の輪-01	Angel's Ring-01
帽子001_勇者の冠	Hat 001_Hero
帽子002_魔王の兜	Hat 002_Demon King
帽子003-01	Hat 003-01
帽子003-02	Hat 003-02
帽子003-03	Hat 003-03
帽子004_パンツ-01	Hat 004_Pants-01
帽子004_パンツ-02	Hat 004_Pants-02
帽子004_パンツ-03	hat 004_Pants-03
帽子004_パンツ-04	hat 004_Pants-04
帽子005_麦わら-01	Hat 005_Straw-01
帽子005_麦わら-02	Hat 005_Straw-02
帽子006_スイカ-01	Hat 006_Watermelon-01
帽子007_カボチャ-01	Hat 007_Pumpkin-01
帽子007_カボチャ-02	Hat 007_Pumpkin-02
帽子008_魔法使い-01	Hat 008_Wizard-01
帽子008_魔法使い-02	Hat 008_Wizard-02
帽子009_月桂樹の冠-01	Hat 009_Crown of laurel-01
帽子010_猫キャップ-01	Hat 010_Cat Cap-01
帽子011_安全ヘルメット-01	Hat 011_Safety Helmet-01
帽子012_桜アフロ-01	Hat 012_Sakura Afro-01
悪魔の角-01	Devil's Horn-01
悪魔の角-02	Devil's Horn-02
悪魔の角-03	Devil's Horn-03
